competitor-type,db-file,config,mode,num-threads,query,latency (s),#made-it,extra-optimization-time (ns)
duckdb,imdb,duckdb,cold,1,28a,3.66897,8520249,
duckdb,imdb,duckdb,cold,1,9b,2.887492,5428241,
duckdb,imdb,duckdb,cold,1,15b,2.850901,5798962,
duckdb,imdb,duckdb,cold,1,31a,5.09802,14096117,
duckdb,imdb,duckdb,cold,1,6d,3.48294,42149399,
duckdb,imdb,duckdb,cold,1,1b,0.491249,3433239,
duckdb,imdb,duckdb,cold,1,14a,2.986583,6959749,
duckdb,imdb,duckdb,cold,1,17a,2.334131,46320997,
duckdb,imdb,duckdb,cold,1,19b,4.895182,4985002,
duckdb,imdb,duckdb,cold,1,13a,2.833153,21359120,
duckdb,imdb,duckdb,cold,1,32b,0.28517,2838754,
duckdb,imdb,duckdb,cold,1,26b,2.286379,46204181,
duckdb,imdb,duckdb,cold,1,13d,1.392365,21434188,
duckdb,imdb,duckdb,cold,1,6c,1.725626,40768698,
duckdb,imdb,duckdb,cold,1,4a,0.731613,6054294,
duckdb,imdb,duckdb,cold,1,20a,2.671965,47249619,
duckdb,imdb,duckdb,cold,1,25a,5.068411,11444825,
duckdb,imdb,duckdb,cold,1,22a,3.217012,7457548,
duckdb,imdb,duckdb,cold,1,10b,2.694426,4439336,
duckdb,imdb,duckdb,cold,1,8b,2.537646,901191,
duckdb,imdb,duckdb,cold,1,6b,1.775027,40768705,
duckdb,imdb,duckdb,cold,1,13c,0.770618,18908758,
duckdb,imdb,duckdb,cold,1,18b,4.797693,3116186,
duckdb,imdb,duckdb,cold,1,7c,6.552104,39106693,
duckdb,imdb,duckdb,cold,1,9a,3.546162,6570582,
duckdb,imdb,duckdb,cold,1,17c,3.099919,46139238,
duckdb,imdb,duckdb,cold,1,28c,3.524499,8151912,
duckdb,imdb,duckdb,cold,1,23b,2.614068,8732858,
duckdb,imdb,duckdb,cold,1,24a,5.931997,12740986,
duckdb,imdb,duckdb,cold,1,1a,0.574991,3934646,
duckdb,imdb,duckdb,cold,1,3a,3.038155,5690540,
duckdb,imdb,duckdb,cold,1,15a,2.696464,6548758,
duckdb,imdb,duckdb,cold,1,8c,13.911187,46296824,
duckdb,imdb,duckdb,cold,1,7a,1.70547,37832158,
duckdb,imdb,duckdb,cold,1,23a,3.133093,8866775,
duckdb,imdb,duckdb,cold,1,1c,0.449618,1789378,
duckdb,imdb,duckdb,cold,1,1d,0.488838,4098231,
duckdb,imdb,duckdb,cold,1,19d,6.035557,24651465,
duckdb,imdb,duckdb,cold,1,13b,0.801354,18910682,
duckdb,imdb,duckdb,cold,1,11a,0.378254,285129,
duckdb,imdb,duckdb,cold,1,23c,3.255503,9234129,
duckdb,imdb,duckdb,cold,1,16d,2.617386,48987051,
duckdb,imdb,duckdb,cold,1,2a,0.512422,9668562,
duckdb,imdb,duckdb,cold,1,32a,0.028377,103869,
duckdb,imdb,duckdb,cold,1,7b,1.5268,37117036,
duckdb,imdb,duckdb,cold,1,17f,3.384641,46659141,
duckdb,imdb,duckdb,cold,1,29b,5.06816,12279825,
duckdb,imdb,duckdb,cold,1,9c,3.277431,10050118,
duckdb,imdb,duckdb,cold,1,19a,5.642889,6488539,
duckdb,imdb,duckdb,cold,1,6e,1.800886,42149392,
duckdb,imdb,duckdb,cold,1,21a,2.848354,289242,
duckdb,imdb,duckdb,cold,1,10c,3.285636,9018047,
duckdb,imdb,duckdb,cold,1,27a,0.706363,294565,
duckdb,imdb,duckdb,cold,1,14b,2.967323,5604452,
duckdb,imdb,duckdb,cold,1,15c,3.491986,9463415,
duckdb,imdb,duckdb,cold,1,16c,2.56315,49241161,
duckdb,imdb,duckdb,cold,1,20c,2.721206,46523941,
duckdb,imdb,duckdb,cold,1,25c,5.741838,26248679,
duckdb,imdb,duckdb,cold,1,2d,0.573656,9743630,
duckdb,imdb,duckdb,cold,1,3b,2.599837,4917796,
duckdb,imdb,duckdb,cold,1,33b,0.517287,4018959,
duckdb,imdb,duckdb,cold,1,17b,2.971798,46171949,
duckdb,imdb,duckdb,cold,1,12b,2.709193,18911002,
duckdb,imdb,duckdb,cold,1,21c,2.825883,404589,
duckdb,imdb,duckdb,cold,1,11c,0.597879,356619,
duckdb,imdb,duckdb,cold,1,30a,4.984822,10474266,
duckdb,imdb,duckdb,cold,1,22c,4.056997,8019897,
duckdb,imdb,duckdb,cold,1,27c,2.889534,410165,
duckdb,imdb,duckdb,cold,1,9d,4.925527,10961662,
duckdb,imdb,duckdb,cold,1,15d,1.804435,9472442,
duckdb,imdb,duckdb,cold,1,2b,0.487548,9661127,
duckdb,imdb,duckdb,cold,1,22b,3.127672,7328879,
duckdb,imdb,duckdb,cold,1,22d,4.602651,10325768,
duckdb,imdb,duckdb,cold,1,33c,0.529238,5077949,
duckdb,imdb,duckdb,cold,1,14c,3.051378,7590418,
duckdb,imdb,duckdb,cold,1,19c,5.843258,9356556,
duckdb,imdb,duckdb,cold,1,8d,11.51472,46296824,
duckdb,imdb,duckdb,cold,1,29a,5.436691,12345821,
duckdb,imdb,duckdb,cold,1,27b,0.771944,4707383,
duckdb,imdb,duckdb,cold,1,4b,0.41751,4923802,
duckdb,imdb,duckdb,cold,1,21b,0.791288,318780,
duckdb,imdb,duckdb,cold,1,8a,2.418003,3467256,
duckdb,imdb,duckdb,cold,1,18c,5.136325,21724748,
duckdb,imdb,duckdb,cold,1,33a,0.468073,4427594,
duckdb,imdb,duckdb,cold,1,2c,0.21063,7135092,
