competitor-type,db-file,config,mode,num-threads,query,latency (s),extra-optimization-time (ns)
rpt++,imdb,rpt++,cold,1,28a,3.192028,
rpt++,imdb,rpt++,cold,1,9b,2.769618,
rpt++,imdb,rpt++,cold,1,15b,2.909305,
rpt++,imdb,rpt++,cold,1,31a,5.106639,
rpt++,imdb,rpt++,cold,1,6d,2.127042,
rpt++,imdb,rpt++,cold,1,1b,0.47537,
rpt++,imdb,rpt++,cold,1,14a,3.013655,
rpt++,imdb,rpt++,cold,1,17a,1.672527,
rpt++,imdb,rpt++,cold,1,19b,4.921137,
rpt++,imdb,rpt++,cold,1,13a,2.669686,
rpt++,imdb,rpt++,cold,1,32b,0.517136,
rpt++,imdb,rpt++,cold,1,26b,2.276523,
rpt++,imdb,rpt++,cold,1,13d,0.86154,
rpt++,imdb,rpt++,cold,1,6c,1.766896,
rpt++,imdb,rpt++,cold,1,4a,0.512581,
rpt++,imdb,rpt++,cold,1,20a,2.28106,
rpt++,imdb,rpt++,cold,1,25a,4.932634,
rpt++,imdb,rpt++,cold,1,22a,3.073373,
rpt++,imdb,rpt++,cold,1,10b,2.664515,
rpt++,imdb,rpt++,cold,1,8b,2.546189,
rpt++,imdb,rpt++,cold,1,6b,1.649261,
rpt++,imdb,rpt++,cold,1,13c,0.776913,
rpt++,imdb,rpt++,cold,1,18b,4.844693,
rpt++,imdb,rpt++,cold,1,7c,4.664196,
rpt++,imdb,rpt++,cold,1,9a,3.207502,
rpt++,imdb,rpt++,cold,1,17c,1.588596,
rpt++,imdb,rpt++,cold,1,28c,3.181122,
rpt++,imdb,rpt++,cold,1,23b,2.723087,
rpt++,imdb,rpt++,cold,1,24a,5.322533,
rpt++,imdb,rpt++,cold,1,1a,0.573488,
rpt++,imdb,rpt++,cold,1,3a,3.022349,
rpt++,imdb,rpt++,cold,1,15a,2.892857,
rpt++,imdb,rpt++,cold,1,8c,3.937645,
rpt++,imdb,rpt++,cold,1,7a,1.844338,
rpt++,imdb,rpt++,cold,1,23a,2.885049,
rpt++,imdb,rpt++,cold,1,1c,0.502393,
rpt++,imdb,rpt++,cold,1,1d,0.50407,
rpt++,imdb,rpt++,cold,1,19d,4.96341,
rpt++,imdb,rpt++,cold,1,13b,0.837789,
rpt++,imdb,rpt++,cold,1,11a,0.655413,
rpt++,imdb,rpt++,cold,1,23c,2.874315,
rpt++,imdb,rpt++,cold,1,16d,2.037099,
rpt++,imdb,rpt++,cold,1,2a,0.478813,
rpt++,imdb,rpt++,cold,1,32a,0.114489,
rpt++,imdb,rpt++,cold,1,7b,1.698864,
rpt++,imdb,rpt++,cold,1,17f,2.061779,
rpt++,imdb,rpt++,cold,1,29b,4.984527,
rpt++,imdb,rpt++,cold,1,9c,2.976971,
rpt++,imdb,rpt++,cold,1,19a,5.40492,
rpt++,imdb,rpt++,cold,1,6e,1.930207,
rpt++,imdb,rpt++,cold,1,21a,2.986456,
rpt++,imdb,rpt++,cold,1,10c,3.321521,
rpt++,imdb,rpt++,cold,1,27a,2.851844,
rpt++,imdb,rpt++,cold,1,14b,2.945378,
rpt++,imdb,rpt++,cold,1,15c,3.196707,
rpt++,imdb,rpt++,cold,1,16c,1.946323,
rpt++,imdb,rpt++,cold,1,20c,2.485385,
rpt++,imdb,rpt++,cold,1,25c,5.341089,
