competitor-type,db-file,config,mode,num-threads,query,latency (s),extra-optimization-time (ns)
rpt,imdb,rpt,cold,1,28a,3.210606,
rpt,imdb,rpt,cold,1,9b,2.911163,
rpt,imdb,rpt,cold,1,15b,2.82507,
rpt,imdb,rpt,cold,1,31a,5.127064,
rpt,imdb,rpt,cold,1,6d,1.983191,
rpt,imdb,rpt,cold,1,1b,0.520838,
rpt,imdb,rpt,cold,1,14a,3.109797,
rpt,imdb,rpt,cold,1,17a,1.524755,
rpt,imdb,rpt,cold,1,19b,5.09788,
rpt,imdb,rpt,cold,1,13a,2.723631,
rpt,imdb,rpt,cold,1,32b,0.523883,
rpt,imdb,rpt,cold,1,26b,2.250936,
rpt,imdb,rpt,cold,1,13d,0.901771,
rpt,imdb,rpt,cold,1,6c,1.688276,
rpt,imdb,rpt,cold,1,4a,0.507176,
rpt,imdb,rpt,cold,1,20a,2.296648,
rpt,imdb,rpt,cold,1,25a,4.872609,
rpt,imdb,rpt,cold,1,22a,3.189408,
rpt,imdb,rpt,cold,1,10b,2.606633,
rpt,imdb,rpt,cold,1,8b,2.536795,
rpt,imdb,rpt,cold,1,6b,1.70044,
rpt,imdb,rpt,cold,1,13c,0.812962,
rpt,imdb,rpt,cold,1,18b,4.899528,
rpt,imdb,rpt,cold,1,7c,4.414993,
rpt,imdb,rpt,cold,1,9a,3.354853,
rpt,imdb,rpt,cold,1,17c,1.535918,
rpt,imdb,rpt,cold,1,28c,3.448641,
rpt,imdb,rpt,cold,1,23b,2.685094,
rpt,imdb,rpt,cold,1,24a,5.403669,
rpt,imdb,rpt,cold,1,1a,0.574191,
rpt,imdb,rpt,cold,1,3a,3.020818,
rpt,imdb,rpt,cold,1,15a,2.834799,
rpt,imdb,rpt,cold,1,8c,3.196132,
rpt,imdb,rpt,cold,1,7a,1.796755,
rpt,imdb,rpt,cold,1,23a,3.003121,
rpt,imdb,rpt,cold,1,1c,0.515754,
rpt,imdb,rpt,cold,1,1d,0.518258,
rpt,imdb,rpt,cold,1,19d,4.095102,
rpt,imdb,rpt,cold,1,13b,0.871031,
rpt,imdb,rpt,cold,1,11a,0.635649,
rpt,imdb,rpt,cold,1,23c,3.004071,
rpt,imdb,rpt,cold,1,16d,1.841203,
rpt,imdb,rpt,cold,1,2a,0.45538,
rpt,imdb,rpt,cold,1,32a,0.360733,
rpt,imdb,rpt,cold,1,7b,1.670345,
rpt,imdb,rpt,cold,1,17f,2.066879,
rpt,imdb,rpt,cold,1,29b,5.118168,
rpt,imdb,rpt,cold,1,9c,3.088794,
rpt,imdb,rpt,cold,1,19a,5.479943,
rpt,imdb,rpt,cold,1,6e,2.143955,
rpt,imdb,rpt,cold,1,21a,3.128581,
rpt,imdb,rpt,cold,1,10c,3.12314,
rpt,imdb,rpt,cold,1,27a,2.834638,
rpt,imdb,rpt,cold,1,14b,3.056215,
rpt,imdb,rpt,cold,1,15c,2.997077,
rpt,imdb,rpt,cold,1,16c,1.899099,
rpt,imdb,rpt,cold,1,20c,2.650636,
rpt,imdb,rpt,cold,1,25c,5.407631,
rpt,imdb,rpt,cold,1,2d,0.504998,
rpt,imdb,rpt,cold,1,3b,2.603356,
rpt,imdb,rpt,cold,1,33b,0.698059,
rpt,imdb,rpt,cold,1,17b,1.725964,
rpt,imdb,rpt,cold,1,12b,2.63137,
rpt,imdb,rpt,cold,1,21c,3.114122,
rpt,imdb,rpt,cold,1,11c,0.849436,
rpt,imdb,rpt,cold,1,30a,5.062737,
rpt,imdb,rpt,cold,1,22c,3.391297,
rpt,imdb,rpt,cold,1,27c,3.185011,
rpt,imdb,rpt,cold,1,9d,3.619843,
rpt,imdb,rpt,cold,1,15d,1.266126,
rpt,imdb,rpt,cold,1,2b,0.425079,
rpt,imdb,rpt,cold,1,22b,2.982462,
rpt,imdb,rpt,cold,1,22d,3.173337,
rpt,imdb,rpt,cold,1,33c,0.741388,
rpt,imdb,rpt,cold,1,14c,3.008176,
rpt,imdb,rpt,cold,1,19c,5.360997,
rpt,imdb,rpt,cold,1,8d,1.859665,
rpt,imdb,rpt,cold,1,29a,5.389363,
rpt,imdb,rpt,cold,1,27b,2.922932,
rpt,imdb,rpt,cold,1,4b,0.452172,
rpt,imdb,rpt,cold,1,21b,2.760115,
rpt,imdb,rpt,cold,1,8a,2.540887,
rpt,imdb,rpt,cold,1,18c,5.097111,
rpt,imdb,rpt,cold,1,33a,0.747243,
rpt,imdb,rpt,cold,1,2c,0.205831,
rpt,imdb,rpt,cold,1,30c,5.337455,
rpt,imdb,rpt,cold,1,30b,5.011543,
rpt,imdb,rpt,cold,1,5b,2.669285,
rpt,imdb,rpt,cold,1,6f,2.360256,
rpt,imdb,rpt,cold,1,16b,3.282227,
rpt,imdb,rpt,cold,1,11d,1.018647,
rpt,imdb,rpt,cold,1,16a,1.698287,
rpt,imdb,rpt,cold,1,3c,3.102778,
rpt,imdb,rpt,cold,1,11b,0.591018,
rpt,imdb,rpt,cold,1,10a,3.031301,
rpt,imdb,rpt,cold,1,12c,2.661855,
rpt,imdb,rpt,cold,1,29c,5.553817,
rpt,imdb,rpt,cold,1,5c,3.197229,
rpt,imdb,rpt,cold,1,28b,2.9998,
rpt,imdb,rpt,cold,1,26a,2.855807,
rpt,imdb,rpt,cold,1,18a,4.449982,
rpt,imdb,rpt,cold,1,24b,5.455457,
rpt,imdb,rpt,cold,1,4c,0.517362,
rpt,imdb,rpt,cold,1,25b,4.783974,
rpt,imdb,rpt,cold,1,6a,1.874691,
rpt,imdb,rpt,cold,1,5a,2.968869,
rpt,imdb,rpt,cold,1,20b,2.651101,
rpt,imdb,rpt,cold,1,12a,2.725725,
rpt,imdb,rpt,cold,1,31c,5.445875,
rpt,imdb,rpt,cold,1,17d,1.838036,
rpt,imdb,rpt,cold,1,26c,2.260082,
rpt,imdb,rpt,cold,1,31b,5.31308,
rpt,imdb,rpt,cold,1,17e,2.186035,
rpt,imdb,rpt,hot,1,28a,0.982128,
rpt,imdb,rpt,hot,1,9b,1.194323,
rpt,imdb,rpt,hot,1,15b,0.708709,
rpt,imdb,rpt,hot,1,31a,1.671523,
rpt,imdb,rpt,hot,1,6d,0.755308,
rpt,imdb,rpt,hot,1,1b,0.239683,
rpt,imdb,rpt,hot,1,14a,0.818843,
rpt,imdb,rpt,hot,1,17a,0.542981,
rpt,imdb,rpt,hot,1,19b,1.527188,
rpt,imdb,rpt,hot,1,13a,0.593709,
rpt,imdb,rpt,hot,1,32b,0.308138,
rpt,imdb,rpt,hot,1,26b,0.851569,
rpt,imdb,rpt,hot,1,13d,0.470285,
rpt,imdb,rpt,hot,1,6c,0.559952,
rpt,imdb,rpt,hot,1,4a,0.252797,
rpt,imdb,rpt,hot,1,20a,0.76761,
rpt,imdb,rpt,hot,1,25a,1.633432,
rpt,imdb,rpt,hot,1,22a,0.739375,
rpt,imdb,rpt,hot,1,10b,1.028296,
rpt,imdb,rpt,hot,1,8b,1.050648,
rpt,imdb,rpt,hot,1,6b,0.562242,
rpt,imdb,rpt,hot,1,13c,0.363295,
rpt,imdb,rpt,hot,1,18b,1.640621,
rpt,imdb,rpt,hot,1,7c,0.974131,
rpt,imdb,rpt,hot,1,9a,1.408944,
rpt,imdb,rpt,hot,1,17c,0.500211,
rpt,imdb,rpt,hot,1,28c,0.992372,
rpt,imdb,rpt,hot,1,23b,0.577851,
rpt,imdb,rpt,hot,1,24a,1.796939,
rpt,imdb,rpt,hot,1,1a,0.298395,
rpt,imdb,rpt,hot,1,3a,0.814681,
rpt,imdb,rpt,hot,1,15a,0.752302,
rpt,imdb,rpt,hot,1,8c,2.021121,
rpt,imdb,rpt,hot,1,7a,0.636196,
rpt,imdb,rpt,hot,1,23a,0.868088,
rpt,imdb,rpt,hot,1,1c,0.23971,
rpt,imdb,rpt,hot,1,1d,0.238269,
rpt,imdb,rpt,hot,1,19d,2.20679,
rpt,imdb,rpt,hot,1,13b,0.407021,
rpt,imdb,rpt,hot,1,11a,0.287491,
rpt,imdb,rpt,hot,1,23c,0.688038,
rpt,imdb,rpt,hot,1,16d,0.777027,
rpt,imdb,rpt,hot,1,2a,0.196226,
rpt,imdb,rpt,hot,1,32a,0.167571,
rpt,imdb,rpt,hot,1,7b,0.548263,
rpt,imdb,rpt,hot,1,17f,0.874179,
rpt,imdb,rpt,hot,1,29b,1.501455,
rpt,imdb,rpt,hot,1,9c,1.223084,
rpt,imdb,rpt,hot,1,19a,1.781112,
rpt,imdb,rpt,hot,1,6e,0.826578,
