competitor-type,db-file,config,mode,num-threads,query,latency (s),#made-it,extra-optimization-time (ns)
rpt,imdb,rpt,cold,1,28a,2.943592,16032,
rpt,imdb,rpt,cold,1,9b,2.630189,62099,
rpt,imdb,rpt,cold,1,15b,2.84593,30282,
rpt,imdb,rpt,cold,1,31a,4.606651,20712,
rpt,imdb,rpt,cold,1,6d,1.980292,9895,
rpt,imdb,rpt,cold,1,1b,0.472253,445,
rpt,imdb,rpt,cold,1,14a,3.047628,13299,
rpt,imdb,rpt,cold,1,17a,1.553152,310159,
rpt,imdb,rpt,cold,1,19b,4.95966,156,
rpt,imdb,rpt,cold,1,13a,2.69152,148502,
rpt,imdb,rpt,cold,1,32b,0.485831,134493,
rpt,imdb,rpt,cold,1,26b,2.071135,81829,
rpt,imdb,rpt,cold,1,13d,0.93431,658183,
rpt,imdb,rpt,cold,1,6c,1.694832,8,
rpt,imdb,rpt,cold,1,4a,0.504776,21080,
rpt,imdb,rpt,cold,1,20a,2.271985,34691,
rpt,imdb,rpt,cold,1,25a,4.831439,41196,
rpt,imdb,rpt,cold,1,22a,2.94708,11899,
rpt,imdb,rpt,cold,1,10b,2.502174,0,
rpt,imdb,rpt,cold,1,8b,2.593834,81,
rpt,imdb,rpt,cold,1,6b,1.643283,86,
rpt,imdb,rpt,cold,1,13c,0.759165,11257,
rpt,imdb,rpt,cold,1,18b,4.800906,9948,
rpt,imdb,rpt,cold,1,7c,4.604727,73724,
rpt,imdb,rpt,cold,1,9a,3.00524,57004,
rpt,imdb,rpt,cold,1,17c,1.565912,154707,
rpt,imdb,rpt,cold,1,28c,2.961807,16222,
rpt,imdb,rpt,cold,1,23b,2.701822,139,
rpt,imdb,rpt,cold,1,24a,5.519828,35858,
rpt,imdb,rpt,cold,1,1a,0.586385,9469,
rpt,imdb,rpt,cold,1,3a,2.70557,7671,
rpt,imdb,rpt,cold,1,15a,2.877903,19768,
rpt,imdb,rpt,cold,1,8c,3.295716,2379795,
rpt,imdb,rpt,cold,1,7a,1.757178,19959,
rpt,imdb,rpt,cold,1,23a,2.877223,4155,
rpt,imdb,rpt,cold,1,1c,0.513767,1467,
rpt,imdb,rpt,cold,1,1d,0.512501,775,
rpt,imdb,rpt,cold,1,19d,4.04433,192967,
rpt,imdb,rpt,cold,1,13b,0.880851,53099,
rpt,imdb,rpt,cold,1,11a,0.604922,1242,
rpt,imdb,rpt,cold,1,23c,2.877706,2663,
rpt,imdb,rpt,cold,1,16d,2.011518,1684636,
rpt,imdb,rpt,cold,1,2a,0.418277,29258,
rpt,imdb,rpt,cold,1,32a,0.356488,17310,
rpt,imdb,rpt,cold,1,7b,1.715731,9465,
rpt,imdb,rpt,cold,1,17f,2.006211,640879,
rpt,imdb,rpt,cold,1,29b,4.60776,153,
rpt,imdb,rpt,cold,1,9c,2.578212,72308,
rpt,imdb,rpt,cold,1,19a,5.253701,32155,
rpt,imdb,rpt,cold,1,6e,1.992029,306,
rpt,imdb,rpt,cold,1,21a,3.140408,6386,
rpt,imdb,rpt,cold,1,10c,3.122991,1046477,
rpt,imdb,rpt,cold,1,27a,2.487718,7515,
rpt,imdb,rpt,cold,1,14b,3.076432,158,
rpt,imdb,rpt,cold,1,15c,3.207845,108824,
rpt,imdb,rpt,cold,1,16c,1.962925,843577,
rpt,imdb,rpt,cold,1,20c,2.678996,55260,
rpt,imdb,rpt,cold,1,25c,5.187148,61995,
rpt,imdb,rpt,cold,1,2d,0.488915,166190,
rpt,imdb,rpt,cold,1,3b,2.68512,377,
rpt,imdb,rpt,cold,1,33b,0.695199,54734,
rpt,imdb,rpt,cold,1,17b,1.709836,176888,
rpt,imdb,rpt,cold,1,12b,2.716878,686,
rpt,imdb,rpt,cold,1,21c,3.032507,41852,
rpt,imdb,rpt,cold,1,11c,0.864401,14590,
rpt,imdb,rpt,cold,1,30a,4.501303,31715,
rpt,imdb,rpt,cold,1,22c,3.354059,29376,
rpt,imdb,rpt,cold,1,27c,2.821353,26823,
rpt,imdb,rpt,cold,1,9d,3.297537,236097,
rpt,imdb,rpt,cold,1,15d,1.195334,92051,
rpt,imdb,rpt,cold,1,2b,0.415262,31751,
rpt,imdb,rpt,cold,1,22b,2.936673,7309,
rpt,imdb,rpt,cold,1,22d,3.126438,60108,
rpt,imdb,rpt,cold,1,33c,0.755236,35083,
rpt,imdb,rpt,cold,1,14c,3.034073,31032,
rpt,imdb,rpt,cold,1,19c,5.134831,36501,
rpt,imdb,rpt,cold,1,8d,1.859433,556781,
rpt,imdb,rpt,cold,1,29a,4.955442,207,
rpt,imdb,rpt,cold,1,27b,2.538294,3839,
rpt,imdb,rpt,cold,1,4b,0.460532,2488,
rpt,imdb,rpt,cold,1,21b,2.759676,2306,
rpt,imdb,rpt,cold,1,8a,2.508133,11437,
rpt,imdb,rpt,cold,1,18c,4.993435,112505,
rpt,imdb,rpt,cold,1,33a,0.690127,46886,
rpt,imdb,rpt,cold,1,2c,0.176295,737,
rpt,imdb,rpt,cold,1,30c,4.788648,38099,
rpt,imdb,rpt,cold,1,30b,4.721847,9582,
rpt,imdb,rpt,cold,1,5b,2.754997,0,
rpt,imdb,rpt,cold,1,6f,2.188642,1827760,
rpt,imdb,rpt,cold,1,16b,3.235896,2487609,
rpt,imdb,rpt,cold,1,11d,1.049831,198522,
rpt,imdb,rpt,cold,1,16a,1.726128,681537,
