competitor-type,db-file,config,mode,num-threads,query,latency (s),extra-optimization-time (ns)
duckdb,tpch-sf1,duckdb,cold,1,9,0.942927,
duckdb,tpch-sf1,duckdb,cold,1,14,0.413847,
duckdb,tpch-sf1,duckdb,cold,1,21,0.874839,
duckdb,tpch-sf1,duckdb,cold,1,16,0.071625,
duckdb,tpch-sf1,duckdb,cold,1,6,0.30715,
duckdb,tpch-sf1,duckdb,cold,1,18,0.903509,
duckdb,tpch-sf1,duckdb,cold,1,15,0.395801,
duckdb,tpch-sf1,duckdb,cold,1,8,0.506414,
duckdb,tpch-sf1,duckdb,cold,1,3,0.440487,
duckdb,tpch-sf1,duckdb,cold,1,12,0.347754,
duckdb,tpch-sf1,duckdb,cold,1,10,0.650666,
duckdb,tpch-sf1,duckdb,cold,1,1,0.465041,
duckdb,tpch-sf1,duckdb,cold,1,2,0.06493,
duckdb,tpch-sf1,duckdb,cold,1,11,0.044616,
duckdb,tpch-sf1,duckdb,cold,1,20,0.487676,
duckdb,tpch-sf1,duckdb,cold,1,22,0.12402,
duckdb,tpch-sf1,duckdb,cold,1,19,0.62141,
duckdb,tpch-sf1,duckdb,cold,1,17,0.49755,
duckdb,tpch-sf1,duckdb,cold,1,4,0.427391,
duckdb,tpch-sf1,duckdb,cold,1,7,0.683313,
duckdb,tpch-sf1,duckdb,cold,1,5,0.465165,
duckdb,tpch-sf1,duckdb,cold,1,13,0.387969,
duckdb,tpch-sf1,duckdb,hot,1,9,0.480817,
duckdb,tpch-sf1,duckdb,hot,1,14,0.072351,
duckdb,tpch-sf1,duckdb,hot,1,21,0.592786,
duckdb,tpch-sf1,duckdb,hot,1,16,0.047304,
duckdb,tpch-sf1,duckdb,hot,1,6,0.047987,
duckdb,tpch-sf1,duckdb,hot,1,18,0.677933,
duckdb,tpch-sf1,duckdb,hot,1,15,0.104927,
duckdb,tpch-sf1,duckdb,hot,1,8,0.0735,
duckdb,tpch-sf1,duckdb,hot,1,3,0.094728,
duckdb,tpch-sf1,duckdb,hot,1,12,0.089337,
duckdb,tpch-sf1,duckdb,hot,1,10,0.255772,
duckdb,tpch-sf1,duckdb,hot,1,1,0.183654,
duckdb,tpch-sf1,duckdb,hot,1,2,0.030935,
duckdb,tpch-sf1,duckdb,hot,1,11,0.012016,
duckdb,tpch-sf1,duckdb,hot,1,20,0.167163,
duckdb,tpch-sf1,duckdb,hot,1,22,0.075614,
duckdb,tpch-sf1,duckdb,hot,1,19,0.214085,
duckdb,tpch-sf1,duckdb,hot,1,17,0.204112,
duckdb,tpch-sf1,duckdb,hot,1,4,0.188162,
duckdb,tpch-sf1,duckdb,hot,1,7,0.283,
duckdb,tpch-sf1,duckdb,hot,1,5,0.114615,
duckdb,tpch-sf1,duckdb,hot,1,13,0.249151,
