competitor-type,db-file,config,mode,num-threads,query,latency (s),extra-optimization-time (ns)
rpt++,tpch-sf1,rpt++,cold,1,9,0.730678,
rpt++,tpch-sf1,rpt++,cold,1,14,0.431312,
rpt++,tpch-sf1,rpt++,cold,1,21,0.569835,
rpt++,tpch-sf1,rpt++,cold,1,16,0.083758,
rpt++,tpch-sf1,rpt++,cold,1,6,0.367045,
rpt++,tpch-sf1,rpt++,cold,1,18,0.940432,
rpt++,tpch-sf1,rpt++,cold,1,15,0.404621,
rpt++,tpch-sf1,rpt++,cold,1,8,0.552493,
rpt++,tpch-sf1,rpt++,cold,1,3,0.444001,
rpt++,tpch-sf1,rpt++,cold,1,12,0.364601,
rpt++,tpch-sf1,rpt++,cold,1,10,0.619174,
rpt++,tpch-sf1,rpt++,cold,1,1,0.607091,
rpt++,tpch-sf1,rpt++,cold,1,2,0.059437,
rpt++,tpch-sf1,rpt++,cold,1,11,0.06201,
rpt++,tpch-sf1,rpt++,cold,1,20,0.403233,
rpt++,tpch-sf1,rpt++,cold,1,22,0.100569,
rpt++,tpch-sf1,rpt++,cold,1,19,0.644738,
rpt++,tpch-sf1,rpt++,cold,1,17,0.406107,
rpt++,tpch-sf1,rpt++,cold,1,4,0.299971,
rpt++,tpch-sf1,rpt++,cold,1,7,0.813429,
rpt++,tpch-sf1,rpt++,cold,1,5,0.461887,
rpt++,tpch-sf1,rpt++,cold,1,13,0.401229,
rpt++,tpch-sf1,rpt++,hot,1,9,0.24163,
rpt++,tpch-sf1,rpt++,hot,1,14,0.076769,
rpt++,tpch-sf1,rpt++,hot,1,21,0.288485,
rpt++,tpch-sf1,rpt++,hot,1,16,0.05132,
rpt++,tpch-sf1,rpt++,hot,1,6,0.049893,
rpt++,tpch-sf1,rpt++,hot,1,18,0.682347,
rpt++,tpch-sf1,rpt++,hot,1,15,0.103734,
rpt++,tpch-sf1,rpt++,hot,1,8,0.092847,
rpt++,tpch-sf1,rpt++,hot,1,3,0.094686,
rpt++,tpch-sf1,rpt++,hot,1,12,0.088858,
rpt++,tpch-sf1,rpt++,hot,1,10,0.201834,
rpt++,tpch-sf1,rpt++,hot,1,1,0.313544,
rpt++,tpch-sf1,rpt++,hot,1,2,0.022688,
rpt++,tpch-sf1,rpt++,hot,1,11,0.023657,
rpt++,tpch-sf1,rpt++,hot,1,20,0.069461,
rpt++,tpch-sf1,rpt++,hot,1,22,0.047798,
rpt++,tpch-sf1,rpt++,hot,1,19,0.223159,
rpt++,tpch-sf1,rpt++,hot,1,17,0.10068,
rpt++,tpch-sf1,rpt++,hot,1,4,0.083166,
rpt++,tpch-sf1,rpt++,hot,1,7,0.397661,
rpt++,tpch-sf1,rpt++,hot,1,5,0.107072,
rpt++,tpch-sf1,rpt++,hot,1,13,0.250184,
