competitor-type,db-file,config,mode,num-threads,query,latency (s),extra-optimization-time (ns)
rpt,tpch-sf1,rpt,cold,1,9,0.710139,
rpt,tpch-sf1,rpt,cold,1,14,0.409627,
rpt,tpch-sf1,rpt,cold,1,21,0.544048,
rpt,tpch-sf1,rpt,cold,1,16,0.090348,
rpt,tpch-sf1,rpt,cold,1,6,0.351182,
rpt,tpch-sf1,rpt,cold,1,18,0.951722,
rpt,tpch-sf1,rpt,cold,1,15,0.406182,
rpt,tpch-sf1,rpt,cold,1,8,0.553897,
rpt,tpch-sf1,rpt,cold,1,3,0.433333,
rpt,tpch-sf1,rpt,cold,1,12,0.355183,
rpt,tpch-sf1,rpt,cold,1,10,0.596161,
rpt,tpch-sf1,rpt,cold,1,1,0.607212,
rpt,tpch-sf1,rpt,cold,1,2,0.061407,
rpt,tpch-sf1,rpt,cold,1,11,0.061029,
rpt,tpch-sf1,rpt,cold,1,20,0.401621,
rpt,tpch-sf1,rpt,cold,1,22,0.097313,
rpt,tpch-sf1,rpt,cold,1,19,0.622602,
rpt,tpch-sf1,rpt,cold,1,17,0.413647,
rpt,tpch-sf1,rpt,cold,1,4,0.297045,
rpt,tpch-sf1,rpt,cold,1,7,0.739855,
rpt,tpch-sf1,rpt,cold,1,5,0.45709,
rpt,tpch-sf1,rpt,cold,1,13,0.403952,
rpt,tpch-sf1,rpt,hot,1,9,0.224318,
rpt,tpch-sf1,rpt,hot,1,14,0.048127,
rpt,tpch-sf1,rpt,hot,1,21,0.267074,
rpt,tpch-sf1,rpt,hot,1,16,0.052504,
rpt,tpch-sf1,rpt,hot,1,6,0.050147,
rpt,tpch-sf1,rpt,hot,1,18,0.711101,
rpt,tpch-sf1,rpt,hot,1,15,0.107432,
rpt,tpch-sf1,rpt,hot,1,8,0.092181,
rpt,tpch-sf1,rpt,hot,1,3,0.083491,
rpt,tpch-sf1,rpt,hot,1,12,0.082995,
rpt,tpch-sf1,rpt,hot,1,10,0.190017,
rpt,tpch-sf1,rpt,hot,1,1,0.306955,
rpt,tpch-sf1,rpt,hot,1,2,0.024501,
rpt,tpch-sf1,rpt,hot,1,11,0.021375,
rpt,tpch-sf1,rpt,hot,1,20,0.069595,
rpt,tpch-sf1,rpt,hot,1,22,0.047467,
rpt,tpch-sf1,rpt,hot,1,19,0.193491,
rpt,tpch-sf1,rpt,hot,1,17,0.103449,
rpt,tpch-sf1,rpt,hot,1,4,0.076791,
rpt,tpch-sf1,rpt,hot,1,7,0.326873,
rpt,tpch-sf1,rpt,hot,1,5,0.098228,
rpt,tpch-sf1,rpt,hot,1,13,0.250691,
